sample_name	accession_no	age	age_units	animal_name	antibiotic_use	body_habitat	body_product	body_site	clns_testing	collection_device	collection_method	collection_time	collection_time_point	collection_timestamp	current_behavior_of_animal_if_out_of_the_ordinary	date	day_of_diet_transition	deceased	description	diet_beef_quantity	diet_beef_quantity_units	diet_composition	diet_consumption	diet_horse_quantity	diet_horse_quantity_units	diet_intervention	diet_offered	dna_extracted	dob	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fecal_score	feeding_phase_categorical	feeding_phase_continuous	filename	geo_loc_name	healthy_liver	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	inj_num	latitude	latitude_units	life_stage	liver_health	longitude	longitude_units	medical_or_chronic_problems	medication_amoxicillin	medication_cefalexin	medication_clavamox	medication_denamarin	medication_famotidine	medication_flagyl	medication_lactalose	medication_meloxicam	medication_omezaprole	medication_zofran	ms_sample_name	physical_specimen_location	physical_specimen_remaining	plate_num	position	qiita_study_id	sample_processing	sample_type	sampled_location	scientific_name	sex	sex_mf	sibling	source	stool_other	supplement_given	taxon_id	time_feces	time_feces_collected	time_feces_sampled	time_of_day_feces_collected	time_point	time_point_units	time_to_process	time_to_process_units	title
11872.BLANK2.2F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK2.2G	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK2.2H	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3A	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3B	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3C	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3D	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3E	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3G	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK3.3H	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK4.4A	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK4.4B	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
11872.BLANK4.4C	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2018/08/24	not applicable	not applicable	not applicable	not applicable	processing control	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	TRUE	not applicable	193	not applicable	not applicable	not applicable	not applicable	urban biome	research facility	sterile water	not applicable	not applicable	not applicable	not applicable	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842	Decimal degrees	not applicable	not applicable	-117.258	Decimal degrees	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	not applicable	not applicable	11872	not applicable	blank	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	256318	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	SD Cheetahs
